"","name","partito","s_office","e_office"
"244","DE LORENZIS DIEGO","MOVIMENTO 5 STELLE (27.03.2018)","20180327",NA
"245","DE LORENZO RINA","MOVIMENTO 5 STELLE (27.03.2018-27.10.2020)","20180327","20201027"
"246","DE LORENZO RINA","LIBERI E UGUALI (27.10.2020)","20201027",NA
"247","DE LUCA PIERO","PARTITO DEMOCRATICO (27.03.2018)","20180327",NA
"248","DE MARIA ANDREA","PARTITO DEMOCRATICO (27.03.2018)","20180327",NA
"249","DE MARTINI GUIDO","LEGA - SALVINI PREMIER (27.03.2018)","20180327",NA
"250","DE MENECH ROGER","PARTITO DEMOCRATICO (27.03.2018)","20180327",NA
"251","DE MICHELI PAOLA","PARTITO DEMOCRATICO (27.03.2018)","20180327",NA
"252","DE TOMA MASSIMILIANO","MISTO (09.01.2020-19.03.2021)","20200109","20210319"
"253","DE TOMA MASSIMILIANO","MOVIMENTO 5 STELLE (27.03.2018-09.01.2020)","20180327","20200109"
"254","DE TOMA MASSIMILIANO","FRATELLI D'ITALIA (19.03.2021)","20210319",NA
"255","DEIANA PAOLA","MOVIMENTO 5 STELLE (27.03.2018)","20180327",NA
"256","DEIDDA SALVATORE","FRATELLI D'ITALIA (27.03.2018)","20180327",NA
"257","DEL BARBA MAURO","PARTITO DEMOCRATICO (27.03.2018-19.09.2019)","20180327","20190919"
"258","DEL BARBA MAURO","ITALIA VIVA (19.09.2019)","20190919",NA
"259","DEL BASSO DE CARO UMBERTO","PARTITO DEMOCRATICO (27.03.2018)","20180327",NA
"260","DEL GROSSO DANIELE","MOVIMENTO 5 STELLE (27.03.2018)","20180327",NA
"261","DEL MONACO ANTONIO","MOVIMENTO 5 STELLE (27.03.2018)","20180327",NA
"262","DEL RE EMANUELA CLAUDIA","MOVIMENTO 5 STELLE (27.03.2018-30.06.2021)","20180327","20210630"
"263","DEL SESTO MARGHERITA","MOVIMENTO 5 STELLE (27.03.2018)","20180327",NA
"264","DELLA FRERA GUIDO","MISTO (15.02.2021-27.05.2021)","20210215","20210527"
"265","DELLA FRERA GUIDO","FORZA ITALIA - BERLUSCONI PRESIDENTE (27.03.2018-15.02.2021)","20180327","20210215"
"266","DELLA FRERA GUIDO","CORAGGIO ITALIA (27.05.2021)","20210527",NA
"267","DELMASTRO DELLE VEDOVE ANDREA","FRATELLI D'ITALIA (27.03.2018)","20180327",NA
"268","DELRIO GRAZIANO","PARTITO DEMOCRATICO (27.03.2018)","20180327",NA
